TestId,Date,Time,Code,Position,Type,Excluded,Tags,System Weight,Jump Height,Jump Momentum,Countermovement Depth,Braking RFD,Stiffness,Force at Min Displacement,Relative Force at Min Displacement,Avg. Braking Force,Avg. Relative Braking Force,Peak Braking Force,Peak Relative Braking Force,Avg. Propulsive Force,Avg. Relative Propulsive Force,Peak Propulsive Force,Peak Relative Propulsive Force,Unweighting Phase,Unweighting Phase %,Braking Phase,Braking Phase %,Propulsive Phase,Propulsive Phase %,Flight Time,Time To Takeoff,Braking Net Impulse,Propulsive Net Impulse,Positive Impulse,Positive Net Impulse,Impulse Ratio,Avg. Braking Velocity,Peak Braking Velocity,Avg. Propulsive Velocity,Takeoff Velocity,Peak Velocity,Avg. Braking Power,Avg. Relative Braking Power,Peak Braking Power,Peak Relative Braking Power,Avg. Propulsive Power,Avg. Relative Propulsive Power,Peak Relative Propulsive Power,Peak Propulsive Power,L|R Peak Braking Force,Left Force at Peak Braking Force,Right Force at Peak Braking Force,L|R Avg. Braking Force,Left Avg. Braking Force,Right Avg. Braking Force,L|R Peak Propulsive Force,Left Force at Peak Propulsive Force,Right Force at Peak Propulsive Force,L|R Avg. Propulsive Force,Left Avg. Propulsive Force,Right Avg. Propulsive Force,L|R Avg. Braking RFD,Left Avg. Braking RFD,Right Avg. Braking RFD,L|R Braking Impulse Index,L|R Propulsive Impulse Index,Time to Stabilization,Landing Stiffness,Peak Landing Force,Avg. Landing Force,Relative Peak Landing Force,L|R Peak Landing Force,Left Force at Peak Landing Force,Right Force at Peak Landing Force,L|R Avg. Landing Force,Left Avg. Landing Force,Right Avg. Landing Force,L|R Landing Impulse Index,RSI,mRSI,Braking Impulse,Relative Braking Impulse,Relative Braking Net Impulse,Propulsive Impulse,Relative Propulsive Impulse,Relative Propulsive Net Impulse
tSuejJCoHR1eqL2Tr8F8,4/26/2024,15:05:54,BASEB1,NA,Countermovement Jump,,,741.371,0.5048,237.8417,-0.3175,8523.8095,-6268.0991,1990,268.4216,1483.2313,200.066,1990,268.4216,1804.1161,243.3486,2112,284.8776,0.308,45.3608,0.147,21.6495,0.224,32.9897,0.673,0.679,108.42,239.0334,622.502,347.4534,2.2047,-0.9136,-1.4411,1.8829,3.1472,3.2559,-1211.1059,-16.0256,-1640.4086,-21.7063,3071.7842,40.6466,74.4488,5626.3148,-12.6633,869,1121,-9.6209,670.2653,812.966,-5.6818,996,1116,-8.2643,827.5089,976.6071,-9.3376,3863.9456,4659.8639,-17.5534,-15.279,N/A,-5759.5582,6043,1276.7278,815.1115,4.6169,3161,2882,4.7086,668.4217,608.306,N/A,0.9912,0.7435,217.4015,2.8767,1.4346,405.1005,5.3604,3.1629
WMkM7yN189nZyHlwWtAy,4/23/2024,15:21:13,BASEB1,NA,Countermovement Jump,,,737.324,0.5114,238.0707,-0.3303,10266.6667,-6448.2892,2130,288.8825,1609.6074,218.3039,2126,288.34,1769.8658,240.0391,2190,297.02,0.366,50,0.135,18.4426,0.231,31.5574,0.688,0.732,117.0568,239.5647,626.482,356.6214,2.0466,-0.9867,-1.5679,1.9878,3.1675,3.3054,-1411.8364,-18.7843,-1984.1747,-26.3992,3102.7854,41.2822,72.3582,5438.4722,-8.7488,970,1156,-7.7152,742.7111,866.8963,-8.4018,1003,1187,-10.3637,793.2208,976.645,-19.3362,4140.7407,6125.9259,-14.2605,-18.7686,N/A,-5662.5954,6849,1234.5132,928.8996,2.5259,3511,3338,-6.9148,574.5743,659.9389,N/A,0.9399,0.6986,216.5955,2.8818,1.5574,409.8865,5.4535,3.1874
hDwehr1iTfFkMBKhT8mR,4/23/2024,15:20:37,BASEB1,NA,Countermovement Jump,,,736.96,0.5321,242.7337,-0.3215,10738.806,-6809.1034,2189,297.031,1596.4701,216.6291,2182,296.0812,1864.9167,253.0553,2246,304.7655,0.352,50.1425,0.134,19.0883,0.216,30.7692,0.695,0.702,114.4444,244.7141,617.0945,359.1585,2.1383,-0.9686,-1.5403,1.9743,3.2311,3.3375,-1378.8519,-18.3545,-1893.0401,-25.1991,3275.9533,43.6077,76.4328,5741.8886,-11.9157,961,1221,-14.0239,686.291,910.1791,-10.6857,1003,1243,-8.2304,855.713,1009.2037,-9.5205,4858.209,5880.597,-24.6223,-15.2201,N/A,-5530.8869,5321,1157.8193,722.0202,15.2791,3067,2254,-2.8403,562.4667,595.3526,N/A,0.99,0.758,213.197,2.838,1.5234,403.8975,5.3765,3.2575
obdaLJJpA0veWNEbkgXZ,4/19/2024,14:54:35,BASEB1,NA,Countermovement Jump,,,738.274,0.4648,227.2582,-0.3154,7460.1227,-6221.2575,1962,265.755,1409.0675,190.8597,1962,265.755,1753.3259,237.4899,2060,279.0292,0.29,42.836,0.163,24.0768,0.224,33.0871,0.657,0.677,108.7213,228.3401,622.7735,337.0615,2.1002,-0.914,-1.4495,1.8274,3.0198,3.1438,-1159.8492,-15.4118,-1600.6606,-21.2692,2885.8684,38.3467,71.1661,5355.7655,-14.475,839,1123,-9.4419,638.0123,771.0552,-12.4272,902,1158,-16.1252,735.2991,1018.0268,-36.1842,2380.3681,5079.7546,-17.1404,-27.7568,N/A,-4916.6754,5103,1129.5235,691.2068,5.4282,2690,2413,-0.0055,564.7309,564.7926,N/A,0.9705,0.6865,229.06,3.0437,1.4447,393.7135,5.2316,3.0341
idgUsdGMwwCRgpF1UlEC,4/19/2024,14:53:51,BASEB1,NA,Countermovement Jump,,,738.847,0.4862,232.61,-0.3004,8551.2821,-6894.4611,2071,280.3016,1406.2436,190.3295,2071,280.3016,1821.0372,246.4701,2127,287.881,0.31,45.5213,0.156,22.9075,0.215,31.5712,0.661,0.681,103.4394,233.6939,611.2455,337.1333,2.2592,-0.9112,-1.3783,1.8835,3.0885,3.202,-1131.7862,-15.0272,-1425.4569,-18.9264,3067.6032,40.7299,73.412,5529.0796,-8.6432,946,1125,-10.9876,625.8654,780.3782,-6.1589,998,1129,-5.7292,858.3535,962.6837,-12.2939,3750,4801.2821,-19.792,-10.8458,N/A,-5932.5611,5191,1053.9901,702.5812,6.8002,2772,2419,-6.6849,491.766,562.2241,N/A,0.9706,0.7139,218.6995,2.9038,1.3734,392.546,5.212,3.1029
LBrzNxXMkCckqH6I37FC,4/16/2024,15:20:26,BASEB1,NA,Countermovement Jump,,,730.371,0.5159,236.869,-0.2971,10036.4964,-7102.5868,2110,288.8943,1517.4453,207.7636,2103,287.9359,1866.1531,255.5076,2181,298.6154,0.281,44.8166,0.137,21.8501,0.209,33.3333,0.684,0.627,107.1332,238.4095,598.251,345.5426,2.2254,-0.9259,-1.4504,1.9237,3.1815,3.279,-1247.8481,-16.7605,-1660.3589,-22.3012,3213.3091,43.1597,76.436,5690.7923,-11.7451,928,1175,-9.7003,685.1241,832.3212,-7.5653,1008,1173,-8.3523,855.1435,1011.0096,-21.1636,3956.2044,6080.292,-17.6238,-15.4342,N/A,-5624.36,4692,1084.7978,642.4132,-5.7545,2211,2481,3.7526,562.7531,522.0446,N/A,1.0909,0.8228,207.194,2.7829,1.439,391.057,5.2525,3.2022
50GBjt8YXlttEQ9mYY3b,4/11/2024,15:20:53,BASEB1,NA,Countermovement Jump,,,747.418,0.4882,235.8026,-0.3264,7651.6129,-5947.469,1941,259.694,1480.8387,198.1272,1941,259.694,1750.4638,234.2015,2088,279.3617,0.282,41.9643,0.155,23.0655,0.235,34.9702,0.658,0.672,113.0792,236.6718,641.244,349.751,2.093,-0.9016,-1.4861,1.8204,3.095,3.2102,-1216.6591,-15.9689,-1799.2837,-23.6159,2918.1545,38.3013,73.458,5596.723,-12.6224,848,1093,-5.4137,700.3355,780.5032,-5.5556,986,1102,-10.854,780.234,970.2298,-16.0202,3212.9032,4438.7097,-10.2222,-19.5747,N/A,-5830.4639,5186,1052.3477,693.8554,-7.9445,2387,2799,-4.0216,505.0132,547.3345,N/A,0.9792,0.7265,228.929,3.0047,1.4842,412.315,5.4117,3.1064
3xvTUGR7ZqO5kv4KItEv,4/11/2024,15:20:12,BASEB1,NA,Countermovement Jump,,,749.774,0.4855,235.8941,-0.2978,8217.6871,-6616.2109,1970,262.7458,1496.9864,199.6583,1967,262.3457,1819.9819,242.7374,2175,290.0874,0.279,43.1221,0.147,22.7202,0.221,34.1577,0.657,0.647,109.2267,237.4809,622.6245,346.7077,2.1742,-0.896,-1.4404,1.8213,3.0864,3.192,-1211.204,-15.8473,-1641.3332,-21.4751,3017.8987,39.486,74.3512,5682.633,-5.9481,925,1042,-12.6981,653.449,843.5374,-6.1149,1021,1154,-9.0146,827.9593,992.0226,3.1457,4238.0952,3979.5918,-22.6024,-16.5124,N/A,-4932.8693,4653,1038.7114,620.587,1.354,2358,2295,-5.2944,491.8591,546.8523,N/A,1.0155,0.7504,219.4435,2.8712,1.4291,403.181,5.2752,3.1072
ZRyQWS0n9weCwUuVjIGe,4/8/2024,15:28:50,BASEB1,NA,Countermovement Jump,,,743.64,0.4991,237.2061,-0.3216,8307.6923,-6019.7651,1936,260.341,1542.3916,207.4111,1936,260.341,1798.2533,241.8177,2081,279.8397,0.333,47.5036,0.143,20.3994,0.225,32.097,0.657,0.701,113.618,238.2385,625.516,351.8565,2.0968,-0.9296,-1.5031,1.87,3.1292,3.2356,-1290.1136,-17.019,-1772.77,-23.3861,3045.1489,40.1712,73.0145,5534.8145,-8.6777,884,1052,-13.3015,668.6154,873.7762,-6.7756,970,1111,-7.3887,832.6933,965.56,-5.5556,3923.0769,4384.6154,-23.5136,-13.7598,N/A,-5425.4489,3748,1067.3059,504.0073,-6.19,1758,1990,-0.8025,529.3702,537.9357,N/A,0.9372,0.7119,219.9585,2.9017,1.4988,405.5575,5.3501,3.1428
u41nudU55uCvbnczZrSl,4/4/2024,15:21:53,BASEB1,NA,Countermovement Jump,,,759.091,0.4621,232.9838,-0.3207,8275.641,-6376.9962,2045,269.4012,1464.1218,192.8783,2045,269.4012,1763.0302,232.2554,2063,271.7724,0.302,43.7681,0.156,22.6087,0.232,33.6232,0.643,0.69,109.3323,233.9199,637.7795,343.2522,2.1395,-0.9199,-1.4157,1.8556,3.0109,3.1467,-1195.3359,-15.4477,-1518.9282,-19.6296,2925.2102,37.8035,68.8261,5325.7171,-14.2298,877,1168,-12.0572,643.7949,820.3269,-9.84,930,1133,-13.8039,759.8319,1003.1983,-25.0194,3102.5641,5173.0769,-21.4618,-24.2553,660,-4482.2592,4689,1108.2318,617.7125,-11.9642,2064,2625,-8.4017,507.5606,600.6712,-15.5072,0.9319,0.6697,227.7505,2.9433,1.4129,410.029,5.2989,3.023
xs4JaGoWbT6u3GfMrbMn,4/4/2024,15:21:41,BASEB1,NA,Countermovement Jump,,,759.976,0.4425,228.2604,-0.2995,5870.0565,-6006.0831,1799,236.718,1324.1864,174.2406,1799,236.718,1783.7623,234.713,2206,290.2723,0.342,46.0916,0.177,23.8544,0.223,30.0539,0.637,0.742,99.3402,229.1914,632.522,328.5316,2.3071,-0.8051,-1.2848,1.7671,2.9465,3.0776,-973.1302,-12.5615,-1365.2178,-17.6226,2855.8558,36.8642,69.7015,5399.7389,-14.5081,769,1030,-16.6255,552.0169,772.1695,-8.1596,1013,1193,-11.7837,786.7848,996.9776,-25.6978,2180.791,3689.2655,-28.4809,-21.0884,N/A,-5179.5931,5780,1216.7028,760.5503,-2.9758,2804,2976,12.5063,684.4335,532.2693,N/A,0.8585,0.5963,233.856,3.0187,1.2823,398.666,5.1461,2.9585
p5IWkbhqd2D8006GWOxO,4/4/2024,15:21:07,BASEB1,NA,Countermovement Jump,,,760.697,0.4628,233.6663,-0.2904,6327.4854,-6344.0242,1842,242.1463,1355,178.1261,1842,242.1463,1791.2996,235.4813,2211,290.6545,0.276,40.9496,0.171,25.3709,0.227,33.6795,0.647,0.674,101.0778,234.8498,638.685,335.9276,2.3235,-0.8514,-1.3094,1.7626,3.0134,3.1294,-1036.3773,-13.3652,-1365.6857,-17.612,2896.6631,37.3556,71.599,5552.0031,-7.9262,848,994,-10.6346,605.4503,749.5497,-3.3921,1068,1143,-5.1809,849.2467,942.0529,-21.0721,2497.076,3830.4094,-19.1861,-9.8551,N/A,-5357.1255,4585,1059.9366,602.7367,-8.5714,2096,2489,-13.3421,459.2592,600.6774,N/A,0.9599,0.6867,231.157,2.981,1.3035,407.528,5.2555,3.0286
2NXcR02pojld48VtJVsv,3/28/2024,15:20:09,BASEB1,NA,Countermovement Jump,,,743.065,0.4476,224.4706,-0.3133,8093.1677,-6529.8803,2046,275.346,1381.3416,185.8978,2046,275.346,1740.1067,234.1796,2095,281.9403,0.389,50.1935,0.161,20.7742,0.225,29.0323,0.642,0.775,102.1055,225.3374,614.266,327.4429,2.2069,-0.9181,-1.3501,1.8769,2.9635,3.1204,-1110.9723,-14.6671,-1366.9048,-18.046,2877.64,37.9908,68.756,5207.9691,-14.174,878,1168,-17.5552,569.4224,811.9193,-10.2625,940,1155,-14.9707,739.8,1000.3067,-21.7191,3167.7019,4925.4658,-29.8497,-26.0388,670,-4789.3578,4265,1048.3687,573.974,-10.762,1903,2362,-15.7913,441.409,606.9597,-27.2645,0.8284,0.5776,221.739,2.9274,1.348,392.527,5.1822,2.9749
EmPMD2ZhhCogPjaMMgPw,3/28/2024,15:19:56,BASEB1,NA,Countermovement Jump,,,743.336,0.4415,223.0068,-0.2971,6005.618,-6099.7735,1812,243.7659,1294.5506,174.1542,1808,243.2278,1719.1092,231.2695,2127,286.1425,0.361,47.0052,0.178,23.1771,0.229,29.8177,0.633,0.768,97.5722,224.3431,624.453,321.9152,2.2993,-0.83,-1.296,1.777,2.9431,3.0918,-974.4577,-12.8602,-1295.7611,-17.1005,2758.6036,36.406,70.2204,5320.8284,-14.7124,771,1037,-11.6886,571.618,722.9326,-4.9365,1011,1116,-11.0055,764.9563,954.1528,-20.6735,2382.0225,3623.5955,-20.8997,-19.8378,N/A,0,4777,332.6017,642.6434,-3.7471,2299,2478,-27.5678,120.4553,212.1464,N/A,0.8242,0.5748,229.886,3.0339,1.2877,394.567,5.2072,2.9607
ViVjEy36g6Vg9rG7wt5c,3/19/2024,15:21:54,BASEB1,NA,Countermovement Jump,,,747.203,0.4806,233.8778,-0.3059,7224.359,-6131.9375,1876,251.0697,1427.5128,191.0475,1871,250.4005,1844.2009,246.8139,2240,299.7847,0.381,50.7324,0.156,20.7723,0.214,28.4953,0.648,0.751,105.5583,235.6746,617.698,341.2329,2.2326,-0.8646,-1.4001,1.8055,3.0706,3.1739,-1124.5623,-14.7643,-1615.8845,-21.2149,3032.2596,39.8104,74.7835,5696.0727,-17.5842,771,1100,-12.6462,623.4936,804.0192,-5.3571,1060,1180,-10.9028,821.5654,1022.6355,-22.9814,2782.0513,4442.3077,-22.4125,-19.6809,N/A,-5150.0986,5054,1175.1382,676.3891,-13.4151,2188,2866,-11.6634,519.0384,656.0998,N/A,0.8628,0.6399,222.122,2.9162,1.3859,395.576,5.1935,3.0942
P9C6hkJm8XECVeIx4zkE,3/14/2024,12:25:16,BASEB1,NA,Countermovement Jump,,,756.948,0.4272,223.3822,-0.2966,6538.9222,-6240.1833,1851,244.5346,1343.5449,177.495,1846,243.8741,1769.6606,233.7889,2167,286.2812,0.441,53.1966,0.167,20.1448,0.221,26.6586,0.621,0.829,97.4097,224.7155,615.821,322.1252,2.3069,-0.7981,-1.2704,1.7312,2.895,3.016,-976.9657,-12.6614,-1358.6199,-17.6076,2778.3934,36.0078,67.709,5224.4849,-16.5764,770,1076,-16.0145,564.1916,779.3533,-5.03,1029,1138,-8.8748,806.3032,963.3575,-18.1319,2676.6467,3862.2754,-27.6,-16.3293,N/A,-5059.5112,4348,1199.2415,574.412,-13.4775,1881,2467,10.5218,662.7115,536.53,N/A,0.7491,0.5153,223.82,2.9007,1.2624,392.001,5.0803,2.9123
Oy9mVRvqksqs7LTpPC7I,3/7/2024,15:21:18,BASEB1,NA,Countermovement Jump,,,757.819,0.5298,249.0585,-0.3202,11702.2901,-7158.7817,2292,302.4469,1682.0611,221.9608,2292,302.4469,1927.9577,254.4087,2316,305.6139,0.314,47.7204,0.131,19.9088,0.213,32.3708,0.698,0.658,120.2987,250.3676,631.356,370.6663,2.0812,-0.975,-1.5649,1.9772,3.2241,3.3255,-1460.949,-18.912,-2007.5724,-25.9881,3388.8918,43.8694,75.7044,5848.1401,-7.9407,1055,1237,-9.8171,758.4656,923.5954,-7.6857,1069,1247,-6.3301,902.9577,1025,0.3262,5870.229,5832.0611,-17.9359,-11.9077,N/A,-4933.8905,4108,1130.2999,542.0819,38.2181,2839,1269,4.985,593.3226,536.9772,N/A,1.0608,0.8052,219.573,2.8424,1.5573,411.783,5.3305,3.241
